6 (0, 1, 2, 3) (1, 2, 5, 6) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 5, 7) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 5, 8) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 5, 9) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 5, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 5, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 6, 7) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 6, 8) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 6, 9) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 6, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 6, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 7, 8) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 7, 9) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 7, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 7, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 8, 9) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 8, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 8, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 9, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 9, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 2, 10, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 4, 5) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 4, 6) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 4, 7) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 4, 8) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 4, 9) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 4, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 4, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 5, 6) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 5, 7) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 5, 8) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 5, 9) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 5, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 5, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 6, 7) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 6, 8) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 6, 9) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 6, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 6, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 7, 8) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 7, 9) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 7, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 7, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 8, 9) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 8, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 8, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 9, 10) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 9, 11) 145.66666666666666
6 (0, 1, 2, 3) (1, 3, 10, 11) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 4, 5) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 4, 6) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 4, 7) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 4, 8) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 4, 9) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 4, 10) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 4, 11) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 5, 6) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 5, 7) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 5, 8) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 5, 9) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 5, 10) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 5, 11) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 6, 7) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 6, 8) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 6, 9) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 6, 10) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 6, 11) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 7, 8) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 7, 9) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 7, 10) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 7, 11) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 8, 9) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 8, 10) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 8, 11) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 9, 10) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 9, 11) 145.66666666666666
6 (0, 1, 2, 3) (2, 3, 10, 11) 145.66666666666666
8 (0, 1, 2, 3) (4, 5, 6, 7) 1485.8
8 (0, 1, 2, 3) (4, 5, 6, 8) 1485.8
8 (0, 1, 2, 3) (4, 5, 6, 9) 1485.8
8 (0, 1, 2, 3) (4, 5, 6, 10) 1485.8
8 (0, 1, 2, 3) (4, 5, 6, 11) 1485.8
8 (0, 1, 2, 3) (4, 5, 7, 8) 1485.8
8 (0, 1, 2, 3) (4, 5, 7, 9) 1485.8
